"SKU_NUMBER","SKU_NAME","BARCODE","BATCH_NUMBER","INBOUND_DATE"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
"S2Y-25V-07C_044","九佰堂 特级美味零食 椰子片 香脆椰子片/泰国特产105g*3袋","S2Y-25V-07C_044","BNSH00001G","2013-05-25"
